person_ID,gender,gender_idx,race,race_idx,education,education_lvl,age,age_min,age_max,total_experience,total_experience_min,total_experience_max,current_experience,current_experience_min,current_experience_max
18,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
19,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,2 - 4 years,2.0,4.0
20,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
21,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
22,Woman,1.0,White,7,PhD,,35-44,35.0,44.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
23,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
24,Woman,1.0,Asian or Asian American,1,PhD,,35-44,35.0,44.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
25,Woman,1.0,White,7,,,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
26,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,1 year or less,,1.0
27,Man,2.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
28,Woman,1.0,Another option not listed here or prefer not to answer,8,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,2 - 4 years,2.0,4.0
29,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
30,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
31,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
32,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
33,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
34,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
35,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
36,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
37,Woman,1.0,White,7,College degree,3.0,18-24,18.0,24.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
38,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
39,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
40,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
41,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
42,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
43,Man,2.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
44,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
45,Man,2.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
46,Woman,1.0,"Hispanic, Latino, or Spanish origin, White","4,7",College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
47,Woman,1.0,White,7,PhD,,35-44,35.0,44.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
48,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
49,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
50,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
51,Woman,1.0,White,7,PhD,,35-44,35.0,44.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
52,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,1 year or less,,1.0
53,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
54,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
55,Woman,1.0,Asian or Asian American,1,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
56,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
57,Woman,1.0,"Hispanic, Latino, or Spanish origin",4,PhD,,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
58,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
59,Woman,1.0,White,7,Some college,2.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
60,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
61,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
62,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
63,Man,2.0,White,7,College degree,3.0,65 or over,65.0,,41 years or more,41.0,,21 - 30 years,21.0,30.0
64,Woman,1.0,Asian or Asian American,1,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
65,Woman,1.0,White,7,College degree,3.0,18-24,18.0,24.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
66,Non-binary,3.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
67,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
68,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
69,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
70,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
71,Man,2.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
72,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
73,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
74,Woman,1.0,White,7,Some college,2.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
75,Woman,1.0,Another option not listed here or prefer not to answer,8,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
76,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
77,Woman,1.0,White,7,PhD,,45-54,45.0,54.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
78,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
79,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
80,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
81,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
82,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
83,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
84,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
85,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
86,Man,2.0,White,7,High School,1.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
87,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
88,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
89,Woman,1.0,White,7,Some college,2.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
90,Man,2.0,White,7,Master's degree,4.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
91,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
92,Woman,1.0,White,7,Master's degree,4.0,55-64,55.0,64.0,31 - 40 years,31.0,40.0,11 - 20 years,11.0,20.0
93,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
94,Man,2.0,White,7,Some college,2.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
95,Woman,1.0,White,7,Master's degree,4.0,55-64,55.0,64.0,31 - 40 years,31.0,40.0,11 - 20 years,11.0,20.0
96,Man,2.0,White,7,College degree,3.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
97,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,1 year or less,,1.0
98,Woman,1.0,White,7,Master's degree,4.0,55-64,55.0,64.0,21 - 30 years,21.0,30.0,8 - 10 years,8.0,10.0
99,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
100,Man,2.0,White,7,Some college,2.0,55-64,55.0,64.0,31 - 40 years,31.0,40.0,31 - 40 years,31.0,40.0
101,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
102,Woman,1.0,"Asian or Asian American, White","1,7",College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
103,Man,2.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
104,Woman,1.0,White,7,Some college,2.0,45-54,45.0,54.0,31 - 40 years,31.0,40.0,21 - 30 years,21.0,30.0
105,Man,2.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
106,Woman,1.0,"Hispanic, Latino, or Spanish origin, White","4,7",College degree,3.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
107,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
108,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
109,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
110,Woman,1.0,Asian or Asian American,1,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
111,Woman,1.0,"Asian or Asian American, White","1,7",College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
112,Man,2.0,White,7,PhD,,45-54,45.0,54.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
113,Woman,1.0,White,7,Master's degree,4.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
114,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
115,Man,2.0,White,7,High School,1.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
116,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
117,Woman,1.0,White,7,Master's degree,4.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
118,Woman,1.0,"Hispanic, Latino, or Spanish origin, White","4,7",Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
119,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
120,Woman,1.0,White,7,PhD,,35-44,35.0,44.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
121,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
122,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
123,Woman,1.0,White,7,College degree,3.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
124,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
125,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,21 - 30 years,21.0,30.0,8 - 10 years,8.0,10.0
126,Woman,1.0,White,7,PhD,,35-44,35.0,44.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
127,Woman,1.0,White,7,Master's degree,4.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
128,Woman,1.0,Middle Eastern or Northern African,5,College degree,3.0,55-64,55.0,64.0,31 - 40 years,31.0,40.0,31 - 40 years,31.0,40.0
129,Woman,1.0,White,7,College degree,3.0,55-64,55.0,64.0,31 - 40 years,31.0,40.0,21 - 30 years,21.0,30.0
130,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
131,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
132,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
133,Man,2.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
134,Woman,1.0,White,7,Master's degree,4.0,55-64,55.0,64.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
135,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
136,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
137,Woman,1.0,White,7,Master's degree,4.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,8 - 10 years,8.0,10.0
138,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
139,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,21 - 30 years,21.0,30.0,21 - 30 years,21.0,30.0
140,Man,2.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
141,Woman,1.0,White,7,Some college,2.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
142,Non-binary,3.0,White,7,College degree,3.0,18-24,18.0,24.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
143,Woman,1.0,White,7,Some college,2.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
144,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
145,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
146,Non-binary,3.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
147,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
148,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
149,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
150,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
151,Man,2.0,White,7,Master's degree,4.0,18-24,18.0,24.0,2 - 4 years,2.0,4.0,1 year or less,,1.0
152,Man,2.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
153,Man,2.0,White,7,College degree,3.0,55-64,55.0,64.0,21 - 30 years,21.0,30.0,8 - 10 years,8.0,10.0
154,Woman,1.0,White,7,High School,1.0,45-54,45.0,54.0,31 - 40 years,31.0,40.0,31 - 40 years,31.0,40.0
155,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
156,Woman,1.0,White,7,Master's degree,4.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
157,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
158,Woman,1.0,White,7,Master's degree,4.0,18-24,18.0,24.0,2 - 4 years,2.0,4.0,1 year or less,,1.0
159,Woman,1.0,White,7,PhD,,45-54,45.0,54.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
160,Woman,1.0,"Hispanic, Latino, or Spanish origin, White","4,7",College degree,3.0,25-34,25.0,34.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
161,Woman,1.0,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White","4,5,7",Master's degree,4.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
162,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
163,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,5-7 years,5.0,7.0
164,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
165,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
166,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
167,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
168,Man,2.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
169,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
170,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
171,Man,2.0,"Hispanic, Latino, or Spanish origin",4,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
172,,,"Hispanic, Latino, or Spanish origin",4,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
173,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
174,Woman,1.0,White,7,Some college,2.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
175,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
176,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
177,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
178,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
179,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
180,Woman,1.0,Black or African American,2,College degree,3.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
181,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
182,Woman,1.0,White,7,Some college,2.0,45-54,45.0,54.0,21 - 30 years,21.0,30.0,11 - 20 years,11.0,20.0
183,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
184,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
185,Woman,1.0,"Black or African American, White","2,7",College degree,3.0,18-24,18.0,24.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
186,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,1 year or less,,1.0
187,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,1 year or less,,1.0
188,Woman,1.0,Another option not listed here or prefer not to answer,8,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
189,Man,2.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
190,Woman,1.0,Asian or Asian American,1,PhD,,45-54,45.0,54.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
191,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
192,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,2 - 4 years,2.0,4.0
193,Woman,1.0,"Hispanic, Latino, or Spanish origin",4,,,35-44,35.0,44.0,11 - 20 years,11.0,20.0,8 - 10 years,8.0,10.0
194,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
195,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
196,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
197,Woman,1.0,White,7,College degree,3.0,25-34,25.0,34.0,5-7 years,5.0,7.0,5-7 years,5.0,7.0
198,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
199,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
200,Woman,1.0,White,7,College degree,3.0,35-44,35.0,44.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
201,Woman,1.0,Asian or Asian American,1,College degree,3.0,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
202,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,8 - 10 years,8.0,10.0
203,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,5-7 years,5.0,7.0
204,Non-binary,3.0,White,7,PhD,,25-34,25.0,34.0,2 - 4 years,2.0,4.0,2 - 4 years,2.0,4.0
205,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
206,Woman,1.0,White,7,Master's degree,4.0,35-44,35.0,44.0,11 - 20 years,11.0,20.0,11 - 20 years,11.0,20.0
207,Woman,1.0,White,7,Master's degree,4.0,25-34,25.0,34.0,8 - 10 years,8.0,10.0,2 - 4 years,2.0,4.0
